,x,edge_index,edge_type,y,num_nodes,api_file_name
304,"[[-0.10308305  0.26736754  0.08092192 ... -0.15560366 -0.32161742
   0.3400832 ]
 [-0.10726722  0.33332002  0.14002581 ... -0.22613873 -0.3203095
   0.3012947 ]
 [-0.11841499  0.14014909 -0.05022007 ... -0.21139944 -0.51839834
   0.32551044]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,22_sample-1_PreparedStatement.executeQuery_graph_dump.txt
305,"[[-0.09845755  0.3285713   0.05631604 ... -0.21135779 -0.34778607
   0.3163367 ]
 [-0.13195919  0.35649452  0.17818454 ... -0.2372508  -0.3315932
   0.32252136]
 [-0.04579013  0.12192754 -0.07574106 ... -0.11928088 -0.3892346
   0.3034028 ]
 [-0.08650801  0.2266898   0.10476242 ... -0.18252283 -0.33358148
   0.3134066 ]
 [-0.08880434  0.28203252 -0.00753862 ... -0.2712375  -0.36588076
   0.41275904]]","[[0 1 2 1 1 3 1 4 0 2 0 3 3 4]
 [1 0 1 2 3 1 4 1 2 0 3 0 4 3]]",[1 1 0 0 0 0 0 0 1 1 1 1 1 1],[0],5,110_sample-0_PreparedStatement.executeQuery_graph_dump.txt
306,"[[-0.12349367  0.1930281  -0.07295646 ... -0.12322397 -0.3514057
   0.21169129]
 [-0.11690855  0.2782333   0.13443913 ... -0.28660724 -0.31393972
   0.34824723]
 [-0.1697351   0.2587581  -0.00264809 ... -0.13912503 -0.40328473
   0.36621493]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,8_sample-7_PreparedStatement.executeQuery_graph_dump.txt
307,"[[-0.09082751  0.25503883  0.11095899 ... -0.23126635 -0.34211102
   0.30936822]
 [-0.11526565  0.33784723  0.16104177 ... -0.22745793 -0.30486178
   0.29367462]
 [-0.09787815  0.30440682  0.17608376 ... -0.4855877  -0.29944885
   0.22543466]]","[[0 1 1 2 0 2]
 [1 0 2 1 2 0]]",[1 1 0 0 1 1],[0],3,0_sample-8_PreparedStatement.executeQuery_graph_dump.txt
308,"[[-0.0200272   0.32819474 -0.0009185  ... -0.23710664 -0.40507212
   0.28104728]
 [-0.12057596  0.29924983  0.13434428 ... -0.1447745  -0.33662948
   0.31229305]
 [-0.08202247  0.17509404 -0.08470836 ... -0.13638783 -0.40404943
   0.2704059 ]
 [-0.11945102  0.25413427  0.04569972 ... -0.19321519 -0.35970265
   0.30349976]
 [-0.13721737  0.29450798  0.00917693 ... -0.2679486  -0.3627921
   0.42541343]]","[[0 1 2 1 1 3 1 4 0 2 0 3 0 4]
 [1 0 1 2 3 1 4 1 2 0 3 0 4 0]]",[1 1 0 0 0 0 0 0 1 1 1 1 1 1],[0],5,49_sample-0_PreparedStatement.executeQuery_graph_dump.txt
309,"[[-0.10035309  0.30453914  0.10808097 ... -0.22525688 -0.38615474
   0.36849463]
 [-0.10726722  0.33332002  0.14002581 ... -0.22613873 -0.3203095
   0.3012947 ]
 [-0.13805386  0.28882188  0.02632497 ... -0.18792827 -0.38232765
   0.3423405 ]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,15_sample-1_PreparedStatement.executeQuery_graph_dump.txt
310,"[[-0.09609298  0.2408663  -0.01346398 ... -0.10302857 -0.3451754
   0.25015646]
 [-0.09500659  0.22892897  0.16932462 ... -0.2859961  -0.325702
   0.35264495]]","[[0 1]
 [1 0]]",[1 1],[0],2,5_sample-7_PreparedStatement.executeQuery_graph_dump.txt
311,"[[-0.08590173  0.2424113   0.03858723 ... -0.19448718 -0.39499852
   0.24003395]
 [-0.10230313  0.33087182  0.13545878 ... -0.2337864  -0.27721408
   0.2943017 ]
 [-0.09037839  0.22023323  0.07248478 ... -0.18513596 -0.32545105
   0.3293814 ]
 [-0.054382    0.28211892  0.09911335 ... -0.41311234 -0.2391297
   0.36206537]]","[[0 1 1 2 1 3 0 2 2 3]
 [1 0 2 1 3 1 2 0 3 2]]",[1 1 0 0 0 0 1 1 1 1],[0],4,67_sample-0_PreparedStatement.executeQuery_graph_dump.txt
312,"[[-0.10010185  0.2801511   0.06049277 ... -0.21781571 -0.34069934
   0.24802819]
 [-0.12395582  0.31014127  0.16739663 ... -0.2069653  -0.30253607
   0.28232905]
 [-0.12835844  0.329837    0.06174874 ... -0.25111893 -0.3216992
   0.2999884 ]
 [-0.12051895  0.3847501   0.09546477 ... -0.2408664  -0.27755266
   0.34003985]]","[[0 1 1 2 1 3 0 2 0 3]
 [1 0 2 1 3 1 2 0 3 0]]",[1 1 0 0 0 0 1 1 1 1],[0],4,218_sample-0_PreparedStatement.executeQuery_graph_dump.txt
313,"[[-0.10755274  0.25405034  0.0785542  ... -0.15975194 -0.3321555
   0.3377943 ]
 [-0.10726722  0.33332002  0.14002581 ... -0.22613873 -0.3203095
   0.3012947 ]
 [-0.12230842  0.19683138 -0.0823914  ... -0.2740317  -0.39921167
   0.27236247]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,5_sample-1_PreparedStatement.executeQuery_graph_dump.txt
314,"[[ 0.02874815  0.16103743  0.02350837 ... -0.05169494 -0.3657112
   0.1495909 ]
 [-0.14527383  0.31107765  0.07121309 ... -0.25432223 -0.30711982
   0.3252888 ]]","[[0 1]
 [1 0]]",[1 1],[0],2,0_sample-11_PreparedStatement.executeQuery_graph_dump.txt
315,"[[-0.11182323  0.36171952  0.08648618 ... -0.26389268 -0.3325998
   0.26652548]
 [-0.09629134  0.2754532   0.14463246 ... -0.16578263 -0.33688527
   0.34629342]
 [-0.08831837  0.03258021 -0.03194909 ... -0.12718761 -0.4358574
   0.38822663]
 [-0.07697783  0.2359165   0.06526984 ... -0.20273796 -0.33517474
   0.30636913]
 [-0.09876984  0.22920994  0.08871854 ... -0.4677321  -0.31632364
   0.32925707]]","[[0 1 2 1 1 3 1 4 0 2 0 3 0 4]
 [1 0 1 2 3 1 4 1 2 0 3 0 4 0]]",[1 1 0 0 0 0 0 0 1 1 1 1 1 1],[0],5,245_sample-0_PreparedStatement.executeQuery_graph_dump.txt
316,"[[-0.04915082  0.32803273 -0.00459955 ... -0.2597699  -0.2516088
   0.27161026]
 [-0.11915626  0.31253272  0.12378331 ... -0.24258189 -0.2983461
   0.3451507 ]]","[[0 1]
 [1 0]]",[1 1],[0],2,150_sample-0_PreparedStatement.executeQuery_graph_dump.txt
317,"[[-0.11182323  0.36171952  0.08648618 ... -0.26389268 -0.3325998
   0.26652548]
 [-0.14240839  0.33726355  0.06894359 ... -0.26866937 -0.31205067
   0.34701058]
 [-0.10899201  0.01898818 -0.02870126 ... -0.1382836  -0.4344078
   0.3773114 ]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,13_sample-6_PreparedStatement.executeQuery_graph_dump.txt
318,"[[-0.10165752  0.27984327  0.01491225 ... -0.24744774 -0.34656712
   0.32782558]
 [-0.11089072  0.32666057  0.16542143 ... -0.22467975 -0.30934817
   0.3008332 ]
 [-0.12899576  0.12509996 -0.01658468 ... -0.17887878 -0.4131802
   0.41284555]
 [-0.09299336  0.3444246   0.09927902 ... -0.2239922  -0.27603903
   0.31681567]
 [-0.0371935   0.18386194 -0.03042715 ... -0.26987603 -0.33557272
   0.29429194]
 [-0.12051895  0.3847501   0.09546477 ... -0.2408664  -0.27755266
   0.34003985]]","[[0 1 2 1 1 3 1 4 1 5 0 2 0 3 0 4 0 5]
 [1 0 1 2 3 1 4 1 5 1 2 0 3 0 4 0 5 0]]",[1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1],[0],6,182_sample-0_PreparedStatement.executeQuery_graph_dump.txt
319,"[[-0.1492325   0.2743752   0.12386978 ... -0.2132923  -0.3534763
   0.3336489 ]
 [-0.11089072  0.32666057  0.16542143 ... -0.22467975 -0.30934817
   0.3008332 ]
 [-0.1895739   0.27248558  0.03334847 ... -0.22036372 -0.36306107
   0.34284854]
 ...
 [-0.02680351  0.2711338   0.02959497 ... -0.3275158  -0.27111802
   0.26290813]
 [-0.08597931  0.26953724  0.05561102 ... -0.3645553  -0.27047095
   0.32903743]
 [-0.12051895  0.3847501   0.09546477 ... -0.2408664  -0.27755266
   0.34003985]]","[[0 1 2 1 1 3 1 4 1 5 1 6 0 2 0 3 3 4 3 5 0 6]
 [1 0 1 2 3 1 4 1 5 1 6 1 2 0 3 0 4 3 5 3 6 0]]",[1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1],[0],7,168_sample-0_PreparedStatement.executeQuery_graph_dump.txt
320,"[[-0.12159056  0.30514243  0.02991495 ... -0.3731837  -0.28373927
   0.2693814 ]
 [-0.10710933  0.33366117  0.17270207 ... -0.21510589 -0.3181545
   0.29932743]
 [-0.13722341  0.26551682  0.07038598 ... -0.20020205 -0.3939619
   0.40826356]
 [-0.06299575  0.23700656  0.06315561 ... -0.13267009 -0.33692738
   0.2874466 ]
 [-0.11500561  0.2980852   0.09993874 ... -0.31367558 -0.33390796
   0.42927203]
 [-0.11760984  0.2785716   0.10545772 ... -0.3113226  -0.3082272
   0.44869664]]","[[0 1 2 1 1 3 1 4 1 5 0 2 0 3 3 4 3 5]
 [1 0 1 2 3 1 4 1 5 1 2 0 3 0 4 3 5 3]]",[1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1],[0],6,122_sample-0_PreparedStatement.executeQuery_graph_dump.txt
321,"[[-0.11010952  0.25198972  0.04865675 ... -0.17756803 -0.328229
   0.32809323]
 [-0.12672025  0.34616005  0.16543496 ... -0.22959621 -0.3069543
   0.30561307]
 [-0.09299336  0.3444246   0.09927902 ... -0.2239922  -0.27603903
   0.31681567]
 [-0.046686    0.2953251   0.01112573 ... -0.40265408 -0.27469897
   0.284585  ]
 [-0.12051895  0.3847501   0.09546477 ... -0.2408664  -0.27755266
   0.34003985]]","[[0 1 1 2 1 3 1 4 0 2 0 3 0 4]
 [1 0 2 1 3 1 4 1 2 0 3 0 4 0]]",[1 1 0 0 0 0 0 0 1 1 1 1 1 1],[0],5,66_sample-0_PreparedStatement.executeQuery_graph_dump.txt
322,"[[-0.07935137  0.2814164   0.05027794 ... -0.28303584 -0.26213855
   0.30977908]
 [-0.11526565  0.33784723  0.16104177 ... -0.22745793 -0.30486178
   0.29367462]
 [-0.00731582  0.19370785  0.04639043 ... -0.3589235  -0.2739193
   0.24515551]
 [-0.05803538  0.23749457  0.06251837 ... -0.15084381 -0.34112272
   0.28845242]
 [-0.04571962  0.194458    0.0016238  ... -0.26118255 -0.3055764
   0.31026593]
 [-0.12051895  0.3847501   0.09546477 ... -0.2408664  -0.27755266
   0.34003985]]","[[0 1 2 1 1 3 1 4 1 5 0 2 0 3 3 4 0 5]
 [1 0 1 2 3 1 4 1 5 1 2 0 3 0 4 3 5 0]]",[1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1],[0],6,30_sample-0_PreparedStatement.executeQuery_graph_dump.txt
323,"[[-0.10052082  0.25966236 -0.03871204 ... -0.21785465 -0.3586604
   0.34307852]
 [-0.12672025  0.34616005  0.16543496 ... -0.22959621 -0.3069543
   0.30561307]
 [-0.06654401  0.15414692 -0.07256105 ... -0.14476086 -0.41080093
   0.29344714]
 [-0.08001809  0.2215483   0.11269392 ... -0.19681908 -0.33420074
   0.31214395]
 [-0.12094938  0.28305772 -0.07470749 ... -0.2987867  -0.34449026
   0.34950587]]","[[0 1 2 1 1 3 1 4 0 2 0 3 3 4]
 [1 0 1 2 3 1 4 1 2 0 3 0 4 3]]",[1 1 0 0 0 0 0 0 1 1 1 1 1 1],[0],5,56_sample-0_PreparedStatement.executeQuery_graph_dump.txt
324,"[[-0.10493986  0.2811618   0.10782538 ... -0.18690974 -0.31494144
   0.335024  ]
 [-0.12132975  0.32422474  0.16137302 ... -0.23190175 -0.31031972
   0.30321258]
 [-0.0946791   0.2827386   0.08888127 ... -0.20687717 -0.33427662
   0.33237466]
 [-0.12051895  0.3847501   0.09546477 ... -0.2408664  -0.27755266
   0.34003985]]","[[0 1 1 2 1 3 0 2 0 3]
 [1 0 2 1 3 1 2 0 3 0]]",[1 1 0 0 0 0 1 1 1 1],[0],4,190_sample-0_PreparedStatement.executeQuery_graph_dump.txt
325,"[[-0.06614182  0.20326503  0.01702855 ... -0.21405709 -0.34326863
   0.22515608]
 [-0.11841718  0.3393146   0.17265838 ... -0.24376269 -0.31586152
   0.31022948]
 [-0.05803538  0.23749457  0.06251837 ... -0.15084381 -0.34112272
   0.28845242]
 ...
 [-0.10879225  0.23209281 -0.01243286 ... -0.27000263 -0.4168981
   0.42704973]
 [-0.1288736   0.24684846  0.03756027 ... -0.25368488 -0.3948923
   0.44012004]
 [-0.12051895  0.3847501   0.09546477 ... -0.2408664  -0.27755266
   0.34003985]]","[[0 1 1 2 1 3 1 4 1 5 1 6 1 7 0 2 2 3 2 4 3 4 2 5 3 5 4 5 2 6 3 6 4 6 5 6
  0 7]
 [1 0 2 1 3 1 4 1 5 1 6 1 7 1 2 0 3 2 4 2 4 3 5 2 5 3 5 4 6 2 6 3 6 4 6 5
  7 0]]","[1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1
 1]",[0],8,123_sample-0_PreparedStatement.executeQuery_graph_dump.txt
326,"[[-0.1009295   0.23928966  0.12152345 ... -0.23303524 -0.35956708
   0.292862  ]
 [-0.13209659  0.33249232  0.11768738 ... -0.24703914 -0.3017045
   0.33093753]
 [-0.10173382  0.21954127 -0.0334518  ... -0.10134093 -0.38746414
   0.38934088]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,4_sample-8_PreparedStatement.executeQuery_graph_dump.txt
327,"[[-0.13583024  0.2546132   0.01574902 ... -0.292449   -0.3535146
   0.30233106]
 [-0.11089072  0.32666057  0.16542143 ... -0.22467975 -0.30934817
   0.3008332 ]
 [-0.08836647  0.17321937  0.00590717 ... -0.09775174 -0.43263966
   0.31743857]
 [-0.08001809  0.2215483   0.11269392 ... -0.19681908 -0.33420074
   0.31214395]
 [-0.16034581  0.25560862  0.06427616 ... -0.22481069 -0.3693947
   0.33932376]]","[[0 1 2 1 1 3 1 4 0 2 0 3 3 4]
 [1 0 1 2 3 1 4 1 2 0 3 0 4 3]]",[1 1 0 0 0 0 0 0 1 1 1 1 1 1],[0],5,102_sample-0_PreparedStatement.executeQuery_graph_dump.txt
328,"[[-0.08957728  0.29027545  0.07911325 ... -0.28383106 -0.3399489
   0.22156246]
 [-0.11391312  0.34094498  0.16012453 ... -0.24288712 -0.307406
   0.29716364]
 [-0.05803538  0.23749457  0.06251837 ... -0.15084381 -0.34112272
   0.28845242]
 [-0.04265072  0.25859764  0.04900203 ... -0.20106581 -0.3106893
   0.39907372]]","[[0 1 1 2 1 3 0 2 2 3]
 [1 0 2 1 3 1 2 0 3 2]]",[1 1 0 0 0 0 1 1 1 1],[0],4,162_sample-0_PreparedStatement.executeQuery_graph_dump.txt
329,"[[-0.07574964  0.27059993 -0.10757841 ... -0.2073224  -0.30877617
   0.2034092 ]
 [-0.11055538  0.32957357  0.1622875  ... -0.21424478 -0.31603825
   0.30951893]
 [-0.00170318  0.21533668  0.00457174 ... -0.3380466  -0.31431457
   0.16631186]
 [-0.06259022  0.23164612  0.05564244 ... -0.15096602 -0.34979445
   0.294975  ]
 [-0.01855753  0.28524372  0.04917601 ... -0.26111814 -0.31723905
   0.35230774]
 [-0.13670173  0.3663019   0.08053534 ... -0.23216236 -0.29739755
   0.34515747]]","[[0 1 2 1 1 3 1 4 1 5 0 2 0 3 0 5]
 [1 0 1 2 3 1 4 1 5 1 2 0 3 0 5 0]]",[1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1],[0],6,83_sample-0_PreparedStatement.executeQuery_graph_dump.txt
330,"[[-0.10637307  0.2771492   0.12515539 ... -0.1309771  -0.33332998
   0.3477969 ]
 [-0.11915626  0.31253272  0.12378331 ... -0.24258189 -0.2983461
   0.3451507 ]
 [-0.12234692  0.25398204  0.03033762 ... -0.20536026 -0.463122
   0.3255103 ]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,6_sample-1_PreparedStatement.executeQuery_graph_dump.txt
331,"[[-0.11059297  0.2981395  -0.013017   ... -0.28628233 -0.26059544
   0.30078235]
 [-0.1151491   0.3151444   0.14014025 ... -0.21473321 -0.30963585
   0.2756432 ]
 [-0.12998681  0.08406291 -0.06301115 ... -0.1274067  -0.46959034
   0.3043141 ]
 [-0.11861099  0.26889795 -0.07845497 ... -0.23420049 -0.30875826
   0.29317898]
 [-0.14663221  0.3516255   0.06367483 ... -0.24697408 -0.29206848
   0.32887474]]","[[0 1 2 1 1 3 1 4 0 2 0 3 0 4]
 [1 0 1 2 3 1 4 1 2 0 3 0 4 0]]",[1 1 0 0 0 0 0 0 1 1 1 1 1 1],[0],5,29_sample-0_PreparedStatement.executeQuery_graph_dump.txt
332,"[[-0.09486554  0.2857118   0.07269849 ... -0.1685751  -0.3581389
   0.38417307]
 [-0.06649897  0.1714282   0.06846032 ... -0.23371533 -0.36669073
   0.30333185]
 [-0.1375471   0.20242587 -0.06792048 ... -0.14872217 -0.42459163
   0.45364782]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,3_sample-9_PreparedStatement.executeQuery_graph_dump.txt
333,"[[-0.09802753  0.22993347  0.02227931 ... -0.18519253 -0.3303569
   0.3663534 ]
 [-0.12643822  0.2508235   0.16166447 ... -0.25007406 -0.33941898
   0.35807428]
 [-0.13604994  0.09163842 -0.00394929 ... -0.2456894  -0.41244107
   0.28026703]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,12_sample-7_PreparedStatement.executeQuery_graph_dump.txt
334,"[[-0.08240771  0.24415773  0.09939851 ... -0.22116348 -0.33023256
   0.33404535]
 [-0.13209659  0.33249232  0.11768738 ... -0.24703914 -0.3017045
   0.33093753]
 [-0.07102627  0.29468393  0.06250245 ... -0.41358808 -0.23642899
   0.25336877]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,1_sample-5_PreparedStatement.executeQuery_graph_dump.txt
335,"[[-0.12123656  0.25052756  0.05241002 ... -0.21175407 -0.32866585
   0.324346  ]
 [-0.11531615  0.32891285  0.16338763 ... -0.20718302 -0.29817504
   0.30586404]
 [-0.13628007  0.340717    0.0957788  ... -0.22175507 -0.2950731
   0.32047567]
 [-0.02026479  0.2738469   0.06305472 ... -0.24749595 -0.29563755
   0.3388264 ]
 [-0.14591503  0.35534254  0.0796832  ... -0.22720583 -0.29505363
   0.33341527]]","[[0 1 1 2 1 3 1 4 0 2 0 3 0 4]
 [1 0 2 1 3 1 4 1 2 0 3 0 4 0]]",[1 1 0 0 0 0 0 0 1 1 1 1 1 1],[0],5,81_sample-0_PreparedStatement.executeQuery_graph_dump.txt
336,"[[-0.11510318  0.27813452  0.09230812 ... -0.24242347 -0.317413
   0.3348065 ]
 [-0.12132975  0.32422474  0.16137302 ... -0.23190175 -0.31031972
   0.30321258]
 [-0.05803538  0.23749457  0.06251837 ... -0.15084381 -0.34112272
   0.28845242]
 [-0.05470125  0.27586606  0.05037064 ... -0.2675852  -0.39959604
   0.33889425]]","[[0 1 1 2 1 3 0 2 2 3]
 [1 0 2 1 3 1 2 0 3 2]]",[1 1 0 0 0 0 1 1 1 1],[0],4,213_sample-0_PreparedStatement.executeQuery_graph_dump.txt
337,"[[-0.07871708  0.2604854  -0.03448425 ... -0.29638293 -0.32607567
   0.2551034 ]
 [-0.12132975  0.32422474  0.16137302 ... -0.23190175 -0.31031972
   0.30321258]
 [-0.06096775  0.07442176 -0.12836976 ... -0.13189128 -0.45597768
   0.24918471]
 [-0.07697783  0.2359165   0.06526984 ... -0.20273796 -0.33517474
   0.30636913]]","[[0 1 2 1 1 3 0 2 0 3]
 [1 0 1 2 3 1 2 0 3 0]]",[1 1 0 0 0 0 1 1 1 1],[0],4,64_sample-0_PreparedStatement.executeQuery_graph_dump.txt
338,"[[-0.11169811  0.31588122  0.10273565 ... -0.20521975 -0.34426403
   0.37930998]
 [-0.06649897  0.1714282   0.06846032 ... -0.23371533 -0.36669073
   0.30333185]]","[[0 1]
 [1 0]]",[1 1],[0],2,2_sample-9_PreparedStatement.executeQuery_graph_dump.txt
339,"[[-0.0601415   0.2681363   0.03092995 ... -0.25875062 -0.39273298
   0.23190866]
 [-0.11324181  0.32881364  0.10004851 ... -0.25857225 -0.30264032
   0.34175977]]","[[0 1]
 [1 0]]",[1 1],[0],2,207_sample-0_PreparedStatement.executeQuery_graph_dump.txt
340,"[[-0.09131192  0.2732791   0.08006003 ... -0.23026185 -0.33138144
   0.31188428]
 [-0.10726722  0.33332002  0.14002581 ... -0.22613873 -0.3203095
   0.3012947 ]
 [-0.14949813  0.26995802  0.00835621 ... -0.25454077 -0.374892
   0.3014753 ]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,10_sample-1_PreparedStatement.executeQuery_graph_dump.txt
341,"[[-0.07982095  0.23765738  0.07102104 ... -0.18905011 -0.3515085
   0.34186444]
 [-0.12132975  0.32422474  0.16137302 ... -0.23190175 -0.31031972
   0.30321258]
 [-0.08209039  0.27758685  0.08027826 ... -0.21914434 -0.33977598
   0.3313881 ]
 [-0.05520071  0.23036772 -0.01555105 ... -0.20494203 -0.34920236
   0.42399988]
 [-0.12051895  0.3847501   0.09546477 ... -0.2408664  -0.27755266
   0.34003985]]","[[0 1 1 2 1 3 1 4 0 2 0 3 0 4]
 [1 0 2 1 3 1 4 1 2 0 3 0 4 0]]",[1 1 0 0 0 0 0 0 1 1 1 1 1 1],[0],5,178_sample-0_PreparedStatement.executeQuery_graph_dump.txt
342,"[[-0.04659269  0.3406313   0.04094541 ... -0.23241451 -0.33045128
   0.35634294]
 [-0.12245756  0.24336371 -0.00986428 ... -0.177821   -0.4095378
   0.42454806]
 [-0.13667475  0.3403781   0.11742315 ... -0.26501518 -0.3061984
   0.3384194 ]
 [-0.13974491  0.19987647 -0.00400319 ... -0.12177309 -0.4533271
   0.41349772]]","[[0 1 0 2 3 2 0 3]
 [1 0 2 0 2 3 3 0]]",[1 1 1 1 0 0 1 1],[0],4,2_sample-0_PreparedStatement.executeQuery_graph_dump.txt
343,"[[-7.14013577e-02  3.13171297e-01  2.22015253e-04 ... -2.98425078e-01
  -2.55274832e-01  2.49829754e-01]
 [-1.19156256e-01  3.12532723e-01  1.23783305e-01 ... -2.42581889e-01
  -2.98346102e-01  3.45150709e-01]]","[[0 1]
 [1 0]]",[1 1],[0],2,149_sample-0_PreparedStatement.executeQuery_graph_dump.txt
344,"[[-0.00727921  0.27341044  0.07324403 ... -0.19203784 -0.3517681
   0.20888463]
 [-0.11915626  0.31253272  0.12378331 ... -0.24258189 -0.2983461
   0.3451507 ]]","[[0 1]
 [1 0]]",[1 1],[0],2,187_sample-0_PreparedStatement.executeQuery_graph_dump.txt
345,"[[-0.08515376  0.25883055  0.1315388  ... -0.19174358 -0.34784514
   0.30113   ]
 [-0.14237274  0.32519203  0.10864846 ... -0.21856704 -0.3053978
   0.33702895]
 [-0.10117567  0.15068652 -0.0213597  ... -0.1576447  -0.3795207
   0.2759287 ]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,9_sample-7_PreparedStatement.executeQuery_graph_dump.txt
346,"[[-0.06297683  0.25449172  0.04248783 ... -0.2369022  -0.3580155
   0.29850775]
 [-0.13250841  0.32983732  0.11020697 ... -0.25266317 -0.30695257
   0.31985438]]","[[0 1]
 [1 0]]",[1 1],[0],2,215_sample-0_PreparedStatement.executeQuery_graph_dump.txt
347,"[[-0.10774929  0.27045372  0.09452075 ... -0.23498116 -0.36733645
   0.36536616]
 [-0.13667475  0.3403781   0.11742315 ... -0.26501518 -0.3061984
   0.3384194 ]
 [-0.03482556  0.17301895 -0.04133128 ... -0.23673609 -0.40465167
   0.26085487]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,20_sample-2_PreparedStatement.executeQuery_graph_dump.txt
348,"[[-0.06338357  0.33762515  0.06442393 ... -0.33105126 -0.3637602
   0.32183215]
 [-0.11089072  0.32666057  0.16542143 ... -0.22467975 -0.30934817
   0.3008332 ]
 [-0.1638347   0.29930088  0.05091042 ... -0.2788247  -0.4124012
   0.34565982]
 [-0.08001809  0.2215483   0.11269392 ... -0.19681908 -0.33420074
   0.31214395]
 [-0.04983813  0.2901925   0.08164883 ... -0.3755956  -0.25348917
   0.3365654 ]
 [-0.12051895  0.3847501   0.09546477 ... -0.2408664  -0.27755266
   0.34003985]]","[[0 1 2 1 1 3 1 4 1 5 0 2 0 3 3 4 0 5]
 [1 0 1 2 3 1 4 1 5 1 2 0 3 0 4 3 5 0]]",[1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1],[0],6,25_sample-0_PreparedStatement.executeQuery_graph_dump.txt
349,"[[-0.15466163  0.2944378   0.05454778 ... -0.18375911 -0.351733
   0.30802333]
 [-0.1482161   0.22480214  0.19649918 ... -0.23694544 -0.3759226
   0.30244365]]","[[0 1]
 [1 0]]",[1 1],[0],2,13_sample-2_PreparedStatement.executeQuery_graph_dump.txt
350,"[[-0.12218411  0.24272151 -0.09804129 ... -0.21633573 -0.30749986
   0.21762557]
 [-0.11055538  0.32957357  0.1622875  ... -0.21424478 -0.31603825
   0.30951893]
 [ 0.00782628  0.2143273   0.01599532 ... -0.31504312 -0.2918833
   0.17873527]
 [-0.06259022  0.23164612  0.05564244 ... -0.15096602 -0.34979445
   0.294975  ]
 [-0.01855753  0.28524372  0.04917601 ... -0.26111814 -0.31723905
   0.35230774]
 [-0.13670173  0.3663019   0.08053534 ... -0.23216236 -0.29739755
   0.34515747]]","[[0 1 2 1 1 3 1 4 1 5 0 2 0 3 0 5]
 [1 0 1 2 3 1 4 1 5 1 2 0 3 0 5 0]]",[1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1],[0],6,95_sample-0_PreparedStatement.executeQuery_graph_dump.txt
351,"[[-0.071234    0.19088407 -0.00257207 ... -0.20214541 -0.2907003
   0.24513811]
 [-0.12439014  0.21542513  0.16187249 ... -0.27991807 -0.3148101
   0.34603286]
 [-0.1146585   0.19059508 -0.02758274 ... -0.20642062 -0.4028988
   0.28412354]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,1_sample-7_PreparedStatement.executeQuery_graph_dump.txt
352,"[[-0.08135115  0.28872886  0.12954986 ... -0.18809669 -0.34660965
   0.3447373 ]
 [-0.09958708  0.30452204  0.12017738 ... -0.21709365 -0.3542122
   0.39676797]
 [-0.16442196  0.26172903  0.04205665 ... -0.19165944 -0.44556358
   0.39045465]
 [-0.07285964  0.24808209  0.03171562 ... -0.1982826  -0.4107089
   0.4105133 ]]","[[0 1 2 1 0 3 2 3 0 2]
 [1 0 1 2 3 0 3 2 2 0]]",[1 1 0 0 1 1 0 0 1 1],[0],4,2_sample-3_PreparedStatement.executeQuery_graph_dump.txt
